"","CREDIT_BUCKET","NEW_LOAN","norm_rho","norm_PD"
"1","<640",0,0.0130931641321833,0.00826149601841755
"2",">820",0,0.0130931641321833,5.14755498890721e-05
"3","640-659",0,0.0130931641321833,0.00641689638377001
"4","660-679",0,0.0130931641321833,0.00461929648436707
"5","680-699",0,0.0130931641321833,0.00298905935384767
"6","700-719",0,0.0130931641321833,0.00203959646164537
"7","720-739",0,0.0130931641321833,0.00138104325097753
"8","740-759",0,0.0130931641321833,0.000924194197933993
"9","760-779",0,0.0130931641321833,0.00052726142003398
"10","780-799",0,0.0130931641321833,0.000294371543895691
"11","800-819",0,0.0130931641321833,0.000195366778704451
"12","<640",1,0.0130931641321833,0.00421594173623377
"13",">820",1,0.0130931641321833,1.00975610324173e-05
"14","640-659",1,0.0130931641321833,0.00323358096517859
"15","660-679",1,0.0130931641321833,0.00218192366583327
"16","680-699",1,0.0130931641321833,0.00136998064253846
"17","700-719",1,0.0130931641321833,0.000841425082584155
"18","720-739",1,0.0130931641321833,0.000569341390308098
"19","740-759",1,0.0130931641321833,0.000353660245367244
"20","760-779",1,0.0130931641321833,0.000208705054936707
"21","780-799",1,0.0130931641321833,0.000119283613783501
"22","800-819",1,0.0130931641321833,8.69634718135847e-05
