,QTR,DATE,CREDIT_BUCKET,NEW_LOAN,CURR_LOANS,BAD_LOANS,total_volume,PD,AVG_VOL
1,2012-Q1,2012-01-01,<640,0,1601,8,218959702.34,0.004996876951905,136764.336252342
2,2012-Q1,2012-01-01,<640,1,21307,67,1935226614.34,0.003144506500211,90825.8607190125
3,2012-Q1,2012-01-01,>820,0,659,0,99017092.15,0,150253.554097117
4,2012-Q1,2012-01-01,>820,1,37257,1,3144817650.04,2.6840593713933E-05,84408.772849129
5,2012-Q1,2012-01-01,640-659,0,1669,4,230319857.76,0.002396644697424,137998.716452966
6,2012-Q1,2012-01-01,640-659,1,40752,104,3745155197.26,0.002552021986651,91901.1385271889
7,2012-Q1,2012-01-01,660-679,0,3550,17,556607847.52,0.004788732394366,156790.94296338
8,2012-Q1,2012-01-01,660-679,1,80201,125,8063729619.91,0.001558584057555,100544.003440231
9,2012-Q1,2012-01-01,680-699,0,6242,15,1060428682.67,0.0024030759372,169886.043362704
10,2012-Q1,2012-01-01,680-699,1,145342,155,15895251233.57,0.001066450165816,109364.472991771
11,2012-Q1,2012-01-01,700-719,0,8892,20,1643763040.06,0.002249212775529,184858.641482231
12,2012-Q1,2012-01-01,700-719,1,217459,126,26179845663.46,0.000579419568746,120389.800667988
13,2012-Q1,2012-01-01,720-739,0,10805,12,2080685373.48,0.001110596945858,192566.901756594
14,2012-Q1,2012-01-01,720-739,1,278095,145,34432184334.7,0.000521404555997,123814.467483054
15,2012-Q1,2012-01-01,740-759,0,14168,10,2781851859.55,0.000705815923207,196347.533847403
16,2012-Q1,2012-01-01,740-759,1,391115,98,48512262819.83,0.000250565690398,124035.802308349
17,2012-Q1,2012-01-01,760-779,0,20310,8,4070341622.49,0.000393894633186,200410.715041359
18,2012-Q1,2012-01-01,760-779,1,624653,89,77862964933.71,0.000142479104399,124649.949545924
19,2012-Q1,2012-01-01,780-799,0,26778,11,5268836212.35,0.000410784972739,196759.885441407
20,2012-Q1,2012-01-01,780-799,1,954362,91,114086355530.18,9.53516590140848E-05,119542.013963444
21,2012-Q1,2012-01-01,800-819,0,18522,2,3189588323.78,0.000107979699816,172205.394869884
